devuelto cpu: 43.8, ram: 75.0
devuelto cpu: 30.3, ram: 74.8
devuelto cpu: 28.8, ram: 72.3
devuelto cpu: 24.1, ram: 72.2
devuelto cpu: 25.8, ram: 72.3
devuelto cpu: 22.9, ram: 72.3
devuelto cpu: 25.4, ram: 72.2
devuelto cpu: 25.3, ram: 72.2
devuelto cpu: 25.8, ram: 72.1
devuelto cpu: 25.0, ram: 72.1
devuelto cpu: 25.3, ram: 72.1
devuelto cpu: 25.8, ram: 72.1
devuelto cpu: 24.3, ram: 72.1
devuelto cpu: 26.3, ram: 72.1
devuelto cpu: 24.9, ram: 72.1
devuelto cpu: 24.5, ram: 72.1
devuelto cpu: 23.2, ram: 72.1
devuelto cpu: 26.8, ram: 72.1
devuelto cpu: 24.3, ram: 72.1
devuelto cpu: 23.5, ram: 72.1
devuelto cpu: 22.9, ram: 72.1
devuelto cpu: 24.5, ram: 72.1
devuelto cpu: 25.0, ram: 72.1
devuelto cpu: 23.3, ram: 72.1
devuelto cpu: 23.4, ram: 72.1
devuelto cpu: 24.7, ram: 72.0
devuelto cpu: 24.4, ram: 72.0
devuelto cpu: 23.8, ram: 72.0
devuelto cpu: 25.6, ram: 72.0
devuelto cpu: 27.4, ram: 71.4
devuelto cpu: 26.4, ram: 71.5
devuelto cpu: 24.9, ram: 71.6
devuelto cpu: 24.8, ram: 71.4
devuelto cpu: 24.1, ram: 71.4
devuelto cpu: 25.4, ram: 71.4
devuelto cpu: 22.8, ram: 71.5
devuelto cpu: 23.0, ram: 71.5
devuelto cpu: 24.2, ram: 71.5
devuelto cpu: 24.3, ram: 71.5
devuelto cpu: 22.7, ram: 71.5
devuelto cpu: 24.8, ram: 71.5
devuelto cpu: 23.7, ram: 71.5
devuelto cpu: 24.4, ram: 71.5
devuelto cpu: 24.4, ram: 71.4
devuelto cpu: 24.3, ram: 71.4
devuelto cpu: 23.4, ram: 71.4
devuelto cpu: 24.8, ram: 71.5
devuelto cpu: 25.3, ram: 71.5
devuelto cpu: 24.0, ram: 71.4
devuelto cpu: 26.2, ram: 71.3
devuelto cpu: 24.7, ram: 71.4
devuelto cpu: 25.9, ram: 71.3
devuelto cpu: 23.4, ram: 71.3
devuelto cpu: 25.6, ram: 71.3
